Level and Distortion,
Left-Left(Total),
X,Y
Hz,dBSPL
13.8888888888889,35.047275635699
27.7777777777778,41.9385774002009
41.6666666666667,44.1754796101812
55.5555555555556,42.5085706858904
69.4444444444444,38.2974273187949
83.3333333333333,35.1036752352559
97.2222222222222,32.2121005260402
111.111111111111,31.4500095833002
125,27.8147760527892
138.888888888889,22.9578370599105
152.777777777778,21.9075901863779
166.666666666667,26.6719280075267
180.555555555556,26.5637672584229
194.444444444444,20.4230709247921
208.333333333333,21.0093808261598
222.222222222222,16.935074861132
236.111111111111,23.5541091786165
250,23.0162853603744
263.888888888889,20.4784109342912
277.777777777778,17.7527953137757
291.666666666667,19.1267083602862
305.555555555556,18.0043047298592
319.444444444444,17.1063920091273
333.333333333333,18.0191162404651
347.222222222222,17.5094961728181
361.111111111111,20.897649519618
375,17.7516917457581
388.888888888889,16.3189284717635
402.777777777778,17.583436390744
416.666666666667,16.3054325479396
430.555555555556,14.3249488261376
444.444444444444,15.0393768275428
458.333333333333,15.4270768552423
472.222222222222,14.3931694725861
486.111111111111,16.611167705917
500,15.6561058242262
513.888888888889,15.3200924037562
527.777777777778,16.9335261889392
541.666666666667,17.0510327262431
555.555555555556,17.7375101276412
569.444444444444,17.2976013876564
583.333333333333,16.1979296603013
597.222222222222,15.7027756246297
611.111111111111,16.7231727634353
625,19.5166328051159
638.888888888889,19.5558327912064
652.777777777778,18.122347150322
666.666666666667,17.6567003846185
680.555555555556,15.7872809277464
694.444444444444,13.5848838101777
708.333333333333,15.7356090919474
722.222222222222,16.4358190841448
736.111111111111,15.9306794342244
750,15.4052936224402
763.888888888889,13.8794509249774
777.777777777778,12.8717065273959
791.666666666667,14.970437317579
805.555555555556,16.7405300735862
819.444444444444,16.1826671270745
833.333333333333,16.7742116752833
847.222222222222,17.7917615332244
861.111111111111,15.6002866845657
875,15.5272099475218
888.888888888889,16.9724997960049
902.777777777778,15.5974079202043
916.666666666667,17.1839616208557
930.555555555556,17.2814394000205
944.444444444444,15.9372873610151
958.333333333333,16.531710804083
972.222222222222,15.1780143404513
986.111111111111,16.1848934070768
1000,16.7474768350653
1013.88888888889,16.1868965166033
1027.77777777778,18.1132027156892
1041.66666666667,18.2575425044184
1055.55555555556,17.7979368276203
1069.44444444444,17.0950584963252
1083.33333333333,14.5352584451739
1097.22222222222,15.9640194367229
1111.11111111111,17.1358439300711
1125,16.5587371364346
1138.88888888889,17.1024143804719
1152.77777777778,16.8887983459955
1166.66666666667,15.9724004946995
1180.55555555556,14.4441334584289
1194.44444444444,14.4356998198175
1208.33333333333,16.856610723774
1222.22222222222,17.5459526070294
1236.11111111111,17.2664342569658
1250,16.5007178920859
1263.88888888889,16.5184519998669
1277.77777777778,16.4391250918228
1291.66666666667,15.5593362056154
1305.55555555556,16.7792011037562
1319.44444444444,17.3885747161023
1333.33333333333,16.3890394044483
1347.22222222222,16.4252946602398
1361.11111111111,17.3174457012012
1375,17.040082123237
1388.88888888889,16.2563701362301
1402.77777777778,15.9700399873861
1416.66666666667,16.3589358743751
1430.55555555556,17.6110055943392
1444.44444444444,18.3835292506911
1458.33333333333,17.6555409967545
1472.22222222222,15.9885141359241
1486.11111111111,15.0454182721888
1500,16.1488687672999
1513.88888888889,17.2034152661666
1527.77777777778,16.7958178156342
1541.66666666667,17.486895877784
1555.55555555556,18.5959279475803
1569.44444444444,18.7985513522408
1583.33333333333,18.8240406523762
1597.22222222222,18.5659737850773
1611.11111111111,17.6482592179746
1625,17.4877343404803
1638.88888888889,18.6301429314413
1652.77777777778,19.0496926793737
1666.66666666667,17.8183296341206
1680.55555555556,16.0872383770767
1694.44444444444,16.1477168131949
1708.33333333333,16.5517526313494
1722.22222222222,16.663900149857
1736.11111111111,17.5119023028313
1750,17.3831101987071
1763.88888888889,16.6489460829426
1777.77777777778,17.7034750862999
1791.66666666667,19.0575945728967
1805.55555555556,19.6395067651394
1819.44444444444,18.0233572790879
1833.33333333333,15.7946408693143
1847.22222222222,15.6842158831176
1861.11111111111,14.756029801301
1875,15.6339803120018
1888.88888888889,17.5988815673421
1902.77777777778,18.6706326108223
1916.66666666667,17.6645818726319
1930.55555555556,16.9786814906055
1944.44444444444,16.7212441547598
1958.33333333333,15.8039533825674
1972.22222222222,16.4442238339263
1986.11111111111,16.3320968353252
2000,17.3923678260217
2013.88888888889,18.6579577303496
2027.77777777778,18.9308854692353
2041.66666666667,18.1210215969977
2055.55555555556,16.3364961514263
2069.44444444444,16.0383714830231
2083.33333333333,16.0131933395361
2097.22222222222,15.2605075394619
2111.11111111111,16.0187482646489
2125,18.1492431270001
2138.88888888889,19.8731479345567
2152.77777777778,19.5297423641443
2166.66666666667,16.55488176224
2180.55555555556,15.5191696524181
2194.44444444444,16.0100905688363
2208.33333333333,16.7240169392251
2222.22222222222,18.7690417543035
2236.11111111111,19.0509880552934
2250,17.3989475446092
2263.88888888889,14.9037815412204
2277.77777777778,15.4498186961284
2291.66666666667,17.9945991444909
2305.55555555556,17.7268239913147
2319.44444444444,17.2403119904223
2333.33333333333,18.7573775190846
2347.22222222222,17.6665058968501
2361.11111111111,15.7076599012064
2375,16.1051333152556
2388.88888888889,17.2372273445267
2402.77777777778,19.3674433739527
2416.66666666667,19.3843053205688
2430.55555555556,17.5827187762557
2444.44444444444,16.3253791248832
2458.33333333333,15.3237292146728
2472.22222222222,16.9996267891219
2486.11111111111,18.595902446447
2500,18.3492915893118
2513.88888888889,18.4447327855345
2527.77777777778,19.01660491306
2541.66666666667,17.8362387783298
2555.55555555556,16.1429879715334
2569.44444444444,17.2769805560056
2583.33333333333,18.2282971495792
2597.22222222222,17.9225727082024
2611.11111111111,16.4047877109383
2625,14.8057799179987
2638.88888888889,16.1285845063001
2652.77777777778,17.2251343126584
2666.66666666667,16.810112718731
2680.55555555556,15.9401260727994
2694.44444444444,17.9351691015921
2708.33333333333,18.2615388155509
2722.22222222222,16.7729816718161
2736.11111111111,16.9971028284827
2750,16.3749412730716
2763.88888888889,17.1210862160766
2777.77777777778,16.913945123561
2791.66666666667,14.918002421357
2805.55555555556,15.9628818567418
2819.44444444444,16.1720657049108
2833.33333333333,18.326866063959
2847.22222222222,18.9588002021151
2861.11111111111,18.0419184741005
2875,19.3954430632347
2888.88888888889,18.9537583077674
2902.77777777778,17.2633172070623
2916.66666666667,17.5765202323037
2930.55555555556,17.9294098586178
2944.44444444444,17.1501592230639
2958.33333333333,16.1409143484551
2972.22222222222,15.7056064278955
2986.11111111111,14.3808297883199
3000,16.555079619198
3013.88888888889,18.8415542150071
3027.77777777778,18.3737024559816
3041.66666666667,16.3187382109722
3055.55555555556,15.0454331693547
3069.44444444444,16.0266241461595
3083.33333333333,17.6083202586049
3097.22222222222,16.5926351881443
3111.11111111111,16.1428731053051
3125,15.7748600001417
3138.88888888889,14.2525983963385
3152.77777777778,16.061267419479
3166.66666666667,16.0040917513359
3180.55555555556,17.4535125498095
3194.44444444444,17.3850541027951
3208.33333333333,16.0541080873497
3222.22222222222,17.914423095809
3236.11111111111,18.867100194287
