Level and Distortion,,,
Left-Left(Total),,Right-Left(Total),
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
13.8888888888889,35.047275635699,13.8888888888889,40.3948414513239
27.7777777777778,41.9385774002009,27.7777777777778,47.4784414555909
41.6666666666667,44.1754796101812,41.6666666666667,49.7402041831468
55.5555555555556,42.5085706858904,55.5555555555556,48.122238606536
69.4444444444444,38.2974273187949,69.4444444444444,44.6409508428084
83.3333333333333,35.1036752352559,83.3333333333333,42.6459948639928
97.2222222222222,32.2121005260402,97.2222222222222,37.0601533902769
111.111111111111,31.4500095833002,111.111111111111,31.0532376026551
125,27.8147760527892,125,32.540341652502
138.888888888889,22.9578370599105,138.888888888889,30.198592908784
152.777777777778,21.9075901863779,152.777777777778,29.3158422713918
166.666666666667,26.6719280075267,166.666666666667,29.5536032287713
180.555555555556,26.5637672584229,180.555555555556,32.0824777225406
194.444444444444,20.4230709247921,194.444444444444,27.5122517016295
208.333333333333,21.0093808261598,208.333333333333,20.5939193009124
222.222222222222,16.935074861132,222.222222222222,22.3922434211757
236.111111111111,23.5541091786165,236.111111111111,25.3086832029868
250,23.0162853603744,250,26.0334773904412
263.888888888889,20.4784109342912,263.888888888889,23.8605163159339
277.777777777778,17.7527953137757,277.777777777778,25.0875864634164
291.666666666667,19.1267083602862,291.666666666667,26.974325577162
305.555555555556,18.0043047298592,305.555555555556,26.0040981410563
319.444444444444,17.1063920091273,319.444444444444,23.7656546194019
333.333333333333,18.0191162404651,333.333333333333,20.8295347708666
347.222222222222,17.5094961728181,347.222222222222,21.9807428751255
361.111111111111,20.897649519618,361.111111111111,23.798457945026
375,17.7516917457581,375,25.0754368193982
388.888888888889,16.3189284717635,388.888888888889,24.0681656117368
402.777777777778,17.583436390744,402.777777777778,21.4518028056222
416.666666666667,16.3054325479396,416.666666666667,22.3021421252262
430.555555555556,14.3249488261376,430.555555555556,20.8605284916178
444.444444444444,15.0393768275428,444.444444444444,22.2119452269841
458.333333333333,15.4270768552423,458.333333333333,23.0578978118043
472.222222222222,14.3931694725861,472.222222222222,25.101735079582
486.111111111111,16.611167705917,486.111111111111,24.0787643899852
500,15.6561058242262,500,21.928054683761
513.888888888889,15.3200924037562,513.888888888889,21.8666805611785
527.777777777778,16.9335261889392,527.777777777778,19.6354758422791
541.666666666667,17.0510327262431,541.666666666667,20.1917496281205
555.555555555556,17.7375101276412,555.555555555556,22.6037383568589
569.444444444444,17.2976013876564,569.444444444444,23.2619543870835
583.333333333333,16.1979296603013,583.333333333333,21.0261816674403
597.222222222222,15.7027756246297,597.222222222222,21.7790574946855
611.111111111111,16.7231727634353,611.111111111111,21.6915980506187
625,19.5166328051159,625,21.7017629579985
638.888888888889,19.5558327912064,638.888888888889,21.6568453989286
652.777777777778,18.122347150322,652.777777777778,18.3457844488161
666.666666666667,17.6567003846185,666.666666666667,21.5281115166418
680.555555555556,15.7872809277464,680.555555555556,22.7314464047027
694.444444444444,13.5848838101777,694.444444444444,20.5212270265763
708.333333333333,15.7356090919474,708.333333333333,20.707285593692
722.222222222222,16.4358190841448,722.222222222222,22.1900035067903
736.111111111111,15.9306794342244,736.111111111111,23.7581017409371
750,15.4052936224402,750,24.6401270602387
763.888888888889,13.8794509249774,763.888888888889,22.8694283394882
777.777777777778,12.8717065273959,777.777777777778,20.7369245781701
791.666666666667,14.970437317579,791.666666666667,21.4934629913961
805.555555555556,16.7405300735862,805.555555555556,21.2604736988574
819.444444444444,16.1826671270745,819.444444444444,20.9147843581671
833.333333333333,16.7742116752833,833.333333333333,22.122708910965
847.222222222222,17.7917615332244,847.222222222222,22.3287114033063
861.111111111111,15.6002866845657,861.111111111111,22.502987673082
875,15.5272099475218,875,22.0244214252087
888.888888888889,16.9724997960049,888.888888888889,20.6028330590356
902.777777777778,15.5974079202043,902.777777777778,20.6537996282298
916.666666666667,17.1839616208557,916.666666666667,20.9182655635665
930.555555555556,17.2814394000205,930.555555555556,20.1726330671105
944.444444444444,15.9372873610151,944.444444444444,21.434527920201
958.333333333333,16.531710804083,958.333333333333,24.0184085912837
972.222222222222,15.1780143404513,972.222222222222,23.6245875875842
986.111111111111,16.1848934070768,986.111111111111,22.5237779404086
1000,16.7474768350653,1000,22.5135771180799
1013.88888888889,16.1868965166033,1013.88888888889,20.5503643835838
1027.77777777778,18.1132027156892,1027.77777777778,21.0032026095956
1041.66666666667,18.2575425044184,1041.66666666667,21.8626441730492
1055.55555555556,17.7979368276203,1055.55555555556,21.4247182177451
1069.44444444444,17.0950584963252,1069.44444444444,21.0618684853496
1083.33333333333,14.5352584451739,1083.33333333333,21.0047356494727
1097.22222222222,15.9640194367229,1097.22222222222,21.6255347366811
1111.11111111111,17.1358439300711,1111.11111111111,22.5834734150055
1125,16.5587371364346,1125,22.9188980232781
