cycle,serial,delay_s,elapsed_s,status,reason,mac,retest_status
0,SN-STRESS-D10-0000,1.0,2.125,success,,,retest_ok
1,SN-STRESS-D10-0001,1.0,2.266,success,,,retest_ok
2,SN-STRESS-D10-0002,1.0,2.266,success,,,retest_ok
3,SN-STRESS-D10-0003,1.0,2.25,success,,,retest_ok
4,SN-STRESS-D10-0004,1.0,2.188,success,,,retest_ok
5,SN-STRESS-D10-0005,1.0,2.235,success,,,retest_ok
6,SN-STRESS-D10-0006,1.0,2.14,success,,,retest_ok
7,SN-STRESS-D10-0007,1.0,2.094,success,,,retest_ok
8,SN-STRESS-D10-0008,1.0,2.187,success,,,retest_ok
9,SN-STRESS-D10-0009,1.0,2.188,success,,,retest_ok
10,SN-STRESS-D10-0010,1.0,2.156,success,,,retest_ok
11,SN-STRESS-D10-0011,1.0,2.265,success,,,retest_ok
12,SN-STRESS-D10-0012,1.0,2.172,success,,,retest_ok
13,SN-STRESS-D10-0013,1.0,2.172,success,,,retest_ok
14,SN-STRESS-D10-0014,1.0,2.157,success,,,retest_ok
15,SN-STRESS-D10-0015,1.0,2.047,success,,,retest_ok
16,SN-STRESS-D10-0016,1.0,2.203,success,,,retest_ok
17,SN-STRESS-D10-0017,1.0,2.046,success,,,retest_ok
18,SN-STRESS-D10-0018,1.0,2.125,success,,,retest_ok
19,SN-STRESS-D10-0019,1.0,2.031,success,,,retest_ok
