cycle,serial,delay_s,elapsed_s,status,reason,mac,retest_status
0,SN-STRESS-D00-0000,0.0,1.125,success,,,retest_ok
1,SN-STRESS-D00-0001,0.0,1.125,success,,,retest_ok
2,SN-STRESS-D00-0002,0.0,1.125,success,,,retest_ok
3,SN-STRESS-D00-0003,0.0,1.141,success,,,retest_ok
4,SN-STRESS-D00-0004,0.0,1.172,success,,,retest_ok
5,SN-STRESS-D00-0005,0.0,1.125,success,,,retest_ok
6,SN-STRESS-D00-0006,0.0,1.094,success,,,retest_ok
7,SN-STRESS-D00-0007,0.0,1.234,success,,,retest_ok
8,SN-STRESS-D00-0008,0.0,1.187,success,,,retest_ok
9,SN-STRESS-D00-0009,0.0,1.172,success,,,retest_ok
10,SN-STRESS-D00-0010,0.0,1.141,success,,,retest_ok
11,SN-STRESS-D00-0011,0.0,1.187,success,,,retest_ok
12,SN-STRESS-D00-0012,0.0,1.141,success,,,retest_ok
13,SN-STRESS-D00-0013,0.0,1.141,success,,,retest_ok
14,SN-STRESS-D00-0014,0.0,1.125,success,,,retest_ok
15,SN-STRESS-D00-0015,0.0,1.453,success,,,retest_ok
16,SN-STRESS-D00-0016,0.0,1.187,success,,,retest_ok
17,SN-STRESS-D00-0017,0.0,1.187,success,,,retest_ok
18,SN-STRESS-D00-0018,0.0,1.094,success,,,retest_ok
19,SN-STRESS-D00-0019,0.0,1.157,success,,,retest_ok
