cycle,serial,delay_s,elapsed_s,status,reason,mac,retest_status
0,SN-STRESS-D05-0000,0.5,1.922,success,,,retest_ok
1,SN-STRESS-D05-0001,0.5,1.765,success,,,retest_ok
2,SN-STRESS-D05-0002,0.5,1.656,success,,,retest_ok
3,SN-STRESS-D05-0003,0.5,1.766,success,,,retest_ok
4,SN-STRESS-D05-0004,0.5,1.672,success,,,retest_ok
5,SN-STRESS-D05-0005,0.5,1.688,success,,,retest_ok
6,SN-STRESS-D05-0006,0.5,1.812,success,,,retest_ok
7,SN-STRESS-D05-0007,0.5,1.796,success,,,retest_ok
8,SN-STRESS-D05-0008,0.5,1.812,success,,,retest_ok
9,SN-STRESS-D05-0009,0.5,1.75,success,,,retest_ok
10,SN-STRESS-D05-0010,0.5,1.703,success,,,retest_ok
11,SN-STRESS-D05-0011,0.5,1.86,success,,,retest_ok
12,SN-STRESS-D05-0012,0.5,1.719,success,,,retest_ok
13,SN-STRESS-D05-0013,0.5,1.766,success,,,retest_ok
14,SN-STRESS-D05-0014,0.5,1.672,success,,,retest_ok
15,SN-STRESS-D05-0015,0.5,1.781,success,,,retest_ok
16,SN-STRESS-D05-0016,0.5,1.734,success,,,retest_ok
17,SN-STRESS-D05-0017,0.5,1.641,success,,,retest_ok
18,SN-STRESS-D05-0018,0.5,1.61,success,,,retest_ok
19,SN-STRESS-D05-0019,0.5,1.657,success,,,retest_ok
