cycle,serial,delay_s,elapsed_s,status,reason,mac,retest_status
0,SN-STRESS-D30-0000,3.0,4.219,success,,,retest_ok
1,SN-STRESS-D30-0001,3.0,4.171,success,,,retest_ok
2,SN-STRESS-D30-0002,3.0,4.171,success,,,retest_ok
3,SN-STRESS-D30-0003,3.0,4.172,success,,,retest_ok
4,SN-STRESS-D30-0004,3.0,4.157,success,,,retest_ok
5,SN-STRESS-D30-0005,3.0,4.172,success,,,retest_ok
6,SN-STRESS-D30-0006,3.0,4.157,success,,,retest_ok
7,SN-STRESS-D30-0007,3.0,4.219,success,,,retest_ok
8,SN-STRESS-D30-0008,3.0,4.219,success,,,retest_ok
9,SN-STRESS-D30-0009,3.0,4.203,success,,,retest_ok
10,SN-STRESS-D30-0010,3.0,4.204,success,,,retest_ok
11,SN-STRESS-D30-0011,3.0,4.171,success,,,retest_ok
12,SN-STRESS-D30-0012,3.0,4.219,success,,,retest_ok
13,SN-STRESS-D30-0013,3.0,4.203,success,,,retest_ok
14,SN-STRESS-D30-0014,3.0,4.39,success,,,retest_ok
15,SN-STRESS-D30-0015,3.0,4.391,success,,,retest_ok
16,SN-STRESS-D30-0016,3.0,4.328,success,,,retest_ok
17,SN-STRESS-D30-0017,3.0,4.203,success,,,retest_ok
18,SN-STRESS-D30-0018,3.0,4.234,success,,,retest_ok
19,SN-STRESS-D30-0019,3.0,4.234,success,,,retest_ok
