"RMS Level",
Ch1,
X,Y
Hz,dBSPL
17.3611111111111,79.3703553815599
20.8333333333333,82.0337564532487
24.3055555555556,83.5495064674043
27.7777777777778,84.441415721707
31.25,85.3792076673597
34.7222222222222,85.9225766384368
38.1944444444444,85.3437372307917
41.6666666666667,85.8613387890645
45.1388888888889,86.1622755905855
48.6111111111111,85.8388062799721
52.0833333333333,85.5896154671455
55.5555555555556,85.4749476491723
59.0277777777778,84.9256484133005
62.5,84.3720853027717
65.9722222222222,83.9338153552644
69.4444444444444,83.4961403185917
72.9166666666667,82.9534672200611
76.3888888888889,81.8636716352569
79.8611111111111,80.5860056137169
83.3333333333333,80.7568719036663
86.8055555555556,79.6125797704401
90.2777777777778,78.8492805753119
93.75,76.9000228555634
97.2222222222222,78.5300900240667
100.694444444444,76.8859943291536
104.166666666667,77.1783554654199
107.638888888889,74.0866094082254
111.111111111111,76.9517042658088
114.583333333333,71.3679805348856
118.055555555556,76.559851798575
121.527777777778,69.4837102117051
125,75.3217627575033
128.472222222222,71.3334586026605
131.944444444444,73.857923945141
135.416666666667,72.3222877531898
138.888888888889,67.9617275354066
142.361111111111,71.2798324735169
145.833333333333,69.3812294493406
149.305555555556,67.4740964763944
152.777777777778,69.9702458008547
156.25,65.4046628727554
159.722222222222,68.6713309105911
163.194444444444,67.0307130780993
166.666666666667,64.0572462201785
170.138888888889,65.0080377930152
173.611111111111,67.3541275099702
177.083333333333,63.452299602879
180.555555555556,66.615612075885
184.027777777778,65.5671667722312
187.5,64.788390872559
190.972222222222,64.5643933489802
194.444444444444,65.0411377138571
197.916666666667,65.2228625788448
201.388888888889,64.8798044496981
204.861111111111,65.4006775653265
208.333333333333,65.6616581510854
211.805555555556,64.8657200312523
215.277777777778,64.5698694280749
218.75,65.3175906607226
222.222222222222,65.5990448641287
225.694444444444,65.0616357992209
229.166666666667,65.4025067193946
232.638888888889,65.4858431446586
236.111111111111,65.7437080937157
239.583333333333,65.4106330050375
243.055555555556,65.0882436204719
246.527777777778,65.4762772975673
250,66.9562534803613
253.472222222222,65.5492342015346
256.944444444444,64.9131459559229
260.416666666667,66.8147898536164
263.888888888889,66.2063626688061
267.361111111111,65.060922790432
270.833333333333,65.2943894257485
274.305555555556,66.1451414379394
277.777777777778,65.7520947919625
281.25,66.7856532184425
284.722222222222,66.5548912343764
288.194444444444,66.91741942229
291.666666666667,65.891603618431
295.138888888889,65.8578932492389
298.611111111111,65.3272733935276
302.083333333333,65.9582107925655
305.555555555556,67.7439504299708
309.027777777778,67.3011834378066
312.5,66.5388754004928
315.972222222222,65.1305055234024
319.444444444444,67.9313970882967
322.916666666667,66.2897590729903
326.388888888889,66.5137174524054
329.861111111111,65.6087115059872
333.333333333333,67.5659688990974
336.805555555556,66.3238675608495
340.277777777778,67.31417004436
343.75,66.9511669528609
347.222222222222,68.1938295655309
350.694444444444,67.4607802922309
354.166666666667,68.073121491362
357.638888888889,66.9262887878537
361.111111111111,66.7664594121269
364.583333333333,66.1279491734406
368.055555555556,67.6902552834627
371.527777777778,67.8141095768652
375,70.0663834113588
378.472222222222,69.5926427333455
381.944444444444,70.951860257678
385.416666666667,70.6596361330315
388.888888888889,71.1443776822697
392.361111111111,70.3749980048877
395.833333333333,70.0751832065965
399.305555555556,69.8939096845967
402.777777777778,69.9339207376033
406.25,71.2255828206416
409.722222222222,70.134672990505
413.194444444444,67.5609006163107
416.666666666667,66.2949323680942
420.138888888889,64.4018594587281
423.611111111111,65.4504412307124
427.083333333333,65.5842032323108
430.555555555556,68.3821889864191
434.027777777778,65.8282787501339
437.5,69.6146721346285
440.972222222222,67.5424636472634
444.444444444444,69.6947676018266
447.916666666667,68.8331960987912
451.388888888889,70.4851639898432
454.861111111111,69.6329538148451
458.333333333333,69.9678719577495
461.805555555556,69.6078940233177
465.277777777778,68.8487334295311
468.75,69.3006888719855
472.222222222222,68.5723739921265
475.694444444444,69.4086795090511
479.166666666667,68.9839741556756
482.638888888889,68.825398564145
486.111111111111,68.8626008958168
489.583333333333,68.4548398962053
493.055555555556,68.8901646456006
496.527777777778,68.593774324471
500,68.8406981457115
503.472222222222,68.7412303249929
506.944444444444,68.92964775178
510.416666666667,68.6466626516222
513.888888888889,68.5921983307758
517.361111111111,68.6287815520046
520.833333333333,68.5348502426149
524.305555555556,68.7433713617655
527.777777777778,68.6331449662106
531.25,68.6010213049166
534.722222222222,68.5980026781378
538.194444444444,68.4622612397017
541.666666666667,68.501244022956
545.138888888889,68.4479781579741
548.611111111111,68.543342067245
552.083333333333,68.4726040607809
555.555555555556,68.7117887882036
559.027777777778,68.5684072919791
562.5,68.6540469339163
565.972222222222,68.4396541179073
569.444444444444,68.3880870942792
572.916666666667,68.3795770253045
576.388888888889,68.3976515175913
579.861111111111,68.3312403697618
583.333333333333,68.3681020594997
586.805555555556,68.2896413438599
590.277777777778,68.278024568862
593.75,68.1142296145969
597.222222222222,68.1798351944934
600.694444444444,68.146613525106
604.166666666667,68.1342342343316
607.638888888889,68.1523536714914
611.111111111111,68.0955413366106
614.583333333333,68.1287578990896
618.055555555556,68.1034180535176
621.527777777778,68.1413471684753
625,68.2136648513773
628.472222222222,68.0767142905188
631.944444444444,68.1691814353684
635.416666666667,68.0922347389762
638.888888888889,68.0763456193997
642.361111111111,68.106770508118
645.833333333333,67.9726621901643
649.305555555556,68.0348081668681
652.777777777778,67.843284831219
656.25,67.9765725476994
659.722222222222,67.704125785062
663.194444444444,67.9687065568087
666.666666666667,67.7377185800123
670.138888888889,67.9517177280561
673.611111111111,67.8863415112666
677.083333333333,67.9841675669539
680.555555555556,67.905684777455
684.027777777778,67.8975128886225
687.5,67.9069870072456
690.972222222222,67.8573806615029
694.444444444444,67.8968190569854
697.916666666667,67.8755178945326
701.388888888889,67.902860871203
704.861111111111,67.9235594846254
708.333333333333,67.7943353221095
711.805555555556,68.0041980502179
715.277777777778,68.0015435180573
718.75,67.9817876641902
722.222222222222,68.0054306081624
725.694444444444,67.9479843675455
729.166666666667,67.9670949800927
732.638888888889,68.0461788482399
736.111111111111,68.1192853575979
739.583333333333,68.0781166696184
743.055555555556,68.2727841175171
746.527777777778,68.1792751470876
750,68.2124369139179
753.472222222222,68.2120929663654
756.944444444444,68.3029394036699
760.416666666667,68.2627835583977
763.888888888889,68.325072146866
767.361111111111,68.4157010115002
770.833333333333,68.278689148738
774.305555555556,68.4252610227339
777.777777777778,68.3319665280482
781.25,68.5101024624744
784.722222222222,68.5056527266554
788.194444444444,68.5201358511487
791.666666666667,68.4384336189792
795.138888888889,68.5969369158257
798.611111111111,68.3868625932609
802.083333333333,68.495076928349
805.555555555556,68.5335696164414
809.027777777778,68.4342583305173
812.5,68.5156769155603
815.972222222222,68.4080211248629
819.444444444444,68.5201052762547
822.916666666667,68.4170631022876
826.388888888889,68.5074808791746
829.861111111111,68.5440041181631
833.333333333333,68.5718154039374
836.805555555556,68.4974311150658
840.277777777778,68.5602885357801
843.75,68.5366046471307
847.222222222222,68.6318713745241
850.694444444444,68.5791326521281
854.166666666667,68.6641571384491
857.638888888889,68.658397675047
861.111111111111,68.6548400920697
864.583333333333,68.6367355339336
868.055555555556,68.7343401097491
871.527777777778,68.6226752677324
875,68.64007382976
878.472222222222,68.6969517452857
881.944444444444,68.6385323103407
885.416666666667,68.6091392088667
888.888888888889,68.6889260982013
892.361111111111,68.6819472953613
895.833333333333,68.5977268185142
899.305555555556,68.7359364139255
902.777777777778,68.6558827278179
906.25,68.4896001138907
909.722222222222,68.6914227510927
913.194444444444,68.553245727253
916.666666666667,68.5539190868023
920.138888888889,68.6316018955309
923.611111111111,68.564186924209
