serial,mac,status,reserved_at,written_at,verified_at,workstation_id
CI6400002,02:FE:ED:00:00:00,verified,2026-06-10T14:14:34.178716+00:00,2026-06-10T14:14:34.444489+00:00,2026-06-10T14:14:38.605827+00:00,Dell-Thilo
CI6400001,02:FE:ED:00:00:01,verified,2026-06-10T14:32:12.636066+00:00,2026-06-10T14:32:12.908658+00:00,2026-06-10T14:32:17.172447+00:00,Dell-Thilo
